2025-11-01 19:29:35;GENERICA;Oggetto NON trovato: UTILITA_Msys_Qry21_07_Oggetti_TABELLE_Link_RICERCA nel DB: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_ATTIVA_GEST_OGGETTI\MDB\MSYS_ATTIVA_GEST_OGGETTI.mdb;;
2025-11-01 19:29:35;GENERICA;Oggetto NON trovato: UTILITA_Msys_Qry21_07_Oggetti_TABELLE_RICERCA nel DB: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_ATTIVA_GEST_OGGETTI\MDB\MSYS_ATTIVA_GEST_OGGETTI.mdb;;
2025-11-01 19:29:35;GENERICA;Oggetto NON trovato: UTILITA_Msys_Qry21_08_Oggetti_Query nel DB: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_ATTIVA_GEST_OGGETTI\MDB\MSYS_ATTIVA_GEST_OGGETTI.mdb;;
2025-11-01 19:29:35;GENERICA;Oggetto NON trovato: UTILITA_Msys_Qry21_08_Oggetti_Query_RICERCA nel DB: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_ATTIVA_GEST_OGGETTI\MDB\MSYS_ATTIVA_GEST_OGGETTI.mdb;;
2025-11-01 19:29:36;CancellaOggetto;GestioneOggetti;ERRORE;Errore in CancellaOggetto (CLASSE_GESTIONE_OGGETTI_}--------------------------------------@): Il file è aperto da un altro utente. Impossibile salvare le modifiche di struttura o salvare in un nuovo oggetto di database. Per salvare le modifiche di struttura o salvare in un nuovo oggetto è necessario disporre dell'accesso esclusivo al file.
2025-11-01 19:29:37;CancellaOggetto;GestioneOggetti;ERRORE;Errore in CancellaOggetto (CLASSE_GESTIONE_OGGETTI_DATABASE): Il file è aperto da un altro utente. Impossibile salvare le modifiche di struttura o salvare in un nuovo oggetto di database. Per salvare le modifiche di struttura o salvare in un nuovo oggetto è necessario disporre dell'accesso esclusivo al file.
2025-11-01 19:29:38;CancellaOggetto;GestioneOggetti;ERRORE;Errore in CancellaOggetto (Msys_GEFILE_CARICA_Mdl00_}-------------------------------------@): Il file è aperto da un altro utente. Impossibile salvare le modifiche di struttura o salvare in un nuovo oggetto di database. Per salvare le modifiche di struttura o salvare in un nuovo oggetto è necessario disporre dell'accesso esclusivo al file.
2025-11-01 19:29:39;CancellaOggetto;GestioneOggetti;ERRORE;Errore in CancellaOggetto (Msys_GEFILE_CARICA_Mdl01_LIBRERIE): Il file è aperto da un altro utente. Impossibile salvare le modifiche di struttura o salvare in un nuovo oggetto di database. Per salvare le modifiche di struttura o salvare in un nuovo oggetto è necessario disporre dell'accesso esclusivo al file.
2025-11-01 19:29:39;CANCELLA_OGGETTI_DB_ESTERNO_Funct;Connessione a DB esterno: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_BASE\MDB\MSYS_BASE_MODELLO.mdb;INFO;
2025-11-01 19:29:39;GENERICA;Oggetto NON trovato: UTILITA_Msys_Qry21_00_{@======================================@} nel DB: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_BASE\MDB\MSYS_BASE_MODELLO.mdb;;
2025-11-01 19:29:39;GENERICA;Oggetto NON trovato: UTILITA_Msys_Qry21_01_GRUPPO_OGGETTI_CORRENTI nel DB: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_BASE\MDB\MSYS_BASE_MODELLO.mdb;;
2025-11-01 19:29:39;GENERICA;Oggetto NON trovato: UTILITA_Msys_Qry21_02_Oggetti_Tutti nel DB: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_BASE\MDB\MSYS_BASE_MODELLO.mdb;;
2025-11-01 19:29:39;GENERICA;Oggetto NON trovato: UTILITA_Msys_Qry21_02_Oggetti_Tutti_RICERCA nel DB: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_BASE\MDB\MSYS_BASE_MODELLO.mdb;;
2025-11-01 19:29:40;GENERICA;Oggetto NON trovato: UTILITA_Msys_Qry21_03_Oggetti_Form nel DB: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_BASE\MDB\MSYS_BASE_MODELLO.mdb;;
2025-11-01 19:29:40;GENERICA;Oggetto NON trovato: UTILITA_Msys_Qry21_03_Oggetti_Form_RICERCA nel DB: C:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSYS_BASE\MDB\MSYS_BASE_MODELLO.mdb;;
